,Country of Origin,Altitude,Variety,Processing Method,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Category Two Defects
94,Guatemala,1900.0,Gesha,Natural / Dry,83.92,11.9,0,0,0
95,Guatemala,1600.0,Bourbon,Washed / Wet,83.92,10.0,0,1,2
96,Thailand,1350.0,Catimor,Natural / Dry,83.92,11.6,0,0,3
98,Guatemala,1400.0,"BOURBON, CATURRA Y CATIMOR",Natural / Dry,83.83,10.8,0,0,4
99,Guatemala,5272.5,Bourbon,Washed / Wet,83.83,10.9,0,1,4
100,Ethiopia,2000.0,Ethiopian Heirlooms,Washed / Wet,83.83,12.0,0,0,12
101,Colombia,1700.0,Caturra,Washed / Wet,83.83,12.1,2,5,5
102,United States (Hawaii),500.0,Typica,Washed / Wet,83.83,11.8,0,3,3
103,Colombia,1800.0,Bourbon Sidra,Pulped natural / honey,83.75,10.6,0,0,1
104,Mexico,1200.0,Sarchimor,Washed / Wet,83.75,11.7,4,0,12
106,Taiwan,1250.0,SL34,Washed / Wet,83.67,10.0,0,0,0
107,Myanmar,1400.0,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,83.67,10.2,0,1,1
108,Taiwan,300.0,unknown,Pulped natural / honey,83.67,9.2,0,0,0
109,Honduras,1470.0,Parainema,Natural / Dry,83.67,11.1,0,2,1
110,Taiwan,325.0,unknown,Natural / Dry,83.58,8.4,0,0,0
111,Taiwan,275.0,Typica,Pulped natural / honey,83.58,9.1,0,0,0
112,Guatemala,1600.0,Caturra,Washed / Wet,83.58,10.9,0,2,4
113,Honduras,1400.0,SHG,Washed / Wet,83.5,11.2,0,1,5
114,Colombia,1700.0,Caturra,Washed / Wet,83.5,12.2,0,0,2
115,Thailand,1390.0,Bourbon,Washed / Wet,83.5,13.1,0,0,0
116,Ethiopia,1700.0,Ethiopian Heirlooms,Washed / Wet,83.5,10.4,0,1,11
117,Thailand,1450.0,Java,Washed / Wet,83.42,11.6,0,2,0
118,Uganda,1650.0,SL14,Washed / Wet,83.42,10.1,0,0,3
119,Taiwan,1100.0,Typica + SL34,Washed / Wet,83.42,10.1,0,0,0
120,Uganda,1905.0,SL14,Washed / Wet,83.33,11.1,0,0,5
121,Taiwan,250.0,Typica,Pulped natural / honey,83.33,9.7,0,0,0
122,Guatemala,1302.5,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Washed / Wet,83.33,11.4,0,0,0
123,Taiwan,300.0,Typica,Washed / Wet,83.33,9.6,0,0,1
124,Colombia,1100.0,Caturra,Washed / Wet,83.33,13.5,0,0,0
125,Costa Rica,1850.0,Caturra,Washed / Wet,83.33,0.0,0,0,3
126,Taiwan,750.0,SL34,Washed / Wet,83.33,10.7,0,0,1
127,Thailand,1400.0,Typica,Washed / Wet,83.33,12.3,0,0,16
128,"Tanzania, United Republic Of",1550.0,Bourbon,Washed / Wet,83.25,10.4,0,0,8
129,Brazil,950.0,Mundo Novo,Natural / Dry,83.25,11.6,0,0,4
130,Taiwan,1150.0,unknown,Washed / Wet,83.25,9.6,0,0,1
131,Colombia,1390.0,"Red Bourbon,Caturra",Anaerobico 1000h,83.25,10.9,0,0,2
132,Honduras,1600.0,Lempira,Washed / Wet,83.25,10.5,0,0,3
133,Honduras,1400.0,Catuai,Washed / Wet,83.25,11.3,0,1,5
134,Taiwan,250.0,Typica,Natural / Dry,83.17,9.7,0,0,2
135,Taiwan,340.0,unknown,Washed / Wet,83.17,11.8,0,0,0
136,Laos,1250.0,Catimor,Natural / Dry,83.08,11.8,0,0,7
137,Honduras,1368.0,Catuai,Washed / Wet,83.08,10.6,0,2,7
138,Honduras,1450.0,Catuai,Washed / Wet,83.08,9.6,0,0,2
139,Colombia,1650.0,Caturra,Washed / Wet,83.0,13.1,0,0,1
140,Taiwan,275.0,Typica,Pulped natural / honey,82.92,8.9,0,0,0
141,Mexico,1350.0,Bourbon,Washed / Wet,82.92,11.9,2,0,1
142,Colombia,1350.0,Typica Gesha,Washed / Wet,82.92,11.5,0,1,3
144,Honduras,1280.0,Catuai,Washed / Wet,82.83,10.0,0,0,4
145,Thailand,1400.0,Gayo,Washed / Wet,82.83,11.8,0,0,5
146,Vietnam,900.0,Catimor,Pulped natural / honey,82.83,13.3,0,0,4
147,Nicaragua,1200.0,SHG,Natural / Dry,82.75,10.5,5,2,1
148,Costa Rica,1450.0,SL28,Pulped natural / honey,82.75,11.8,0,0,1
149,Colombia,1700.0,Caturra,Washed / Wet,82.67,11.8,0,1,2
150,Thailand,1390.0,Caturra,Washed / Wet,82.67,13.0,1,0,0
151,Thailand,1200.0,"Bourbon, Catimor, Caturra, Typica",Natural / Dry,82.67,11.2,0,0,0
152,Honduras,1450.0,Catuai,Washed / Wet,82.67,9.6,0,0,2
153,Taiwan,165.0,unknow,Natural / Dry,82.58,9.8,0,0,0
154,Taiwan,465.0,Caturra,Washed / Wet,82.58,8.4,0,0,2
155,Nicaragua,1350.0,Parainema,Washed / Wet,82.58,10.1,0,0,0
156,El Salvador,1200.0,Bourbon,Washed / Wet,82.5,11.3,0,0,2
157,Panama,1200.0,Caturra,Washed / Wet,82.5,10.0,0,0,0
158,Brazil,1100.0,Mundo Novo,Natural / Dry,82.5,11.8,0,1,1
159,United States (Hawaii),640.0,Maragogype,Washed / Wet,82.5,11.7,0,0,1
160,Mexico,1340.0,Pacamara,Washed / Wet,82.5,10.7,0,0,0
161,Honduras,1368.0,Catuai,Washed / Wet,82.5,10.6,0,0,8
162,Taiwan,139.0,unknown,Washed / Wet,82.5,8.4,0,0,2
163,Nicaragua,1275.0,Caturra-Catuai,Washed / Wet,82.42,11.4,0,0,0
164,Vietnam,1040.0,Catimor,Washed / Wet,82.33,10.5,0,0,0
165,El Salvador,1200.0,Bourbon,Washed / Wet,82.33,12.0,0,7,10
166,El Salvador,1200.0,Bourbon,Washed / Wet,82.33,11.8,0,0,0
167,Taiwan,140.0,unknown,Natural / Dry,82.33,10.8,0,0,1
168,Peru,1600.0,Caturra,Washed / Wet,82.25,11.7,0,1,3
169,United States (Hawaii),1200.0,Typica,Washed / Wet,82.17,10.6,1,0,5
170,Kenya,1725.0,"SL28,SL34,Ruiru11",Washed / Wet,82.17,11.2,0,0,2
171,Honduras,1368.0,Catuai,Washed / Wet,82.17,10.6,0,0,8
172,Taiwan,600.0,unknown,Washed / Wet,82.08,9.7,0,0,0
173,Taiwan,460.0,unknown,Pulped natural / honey,82.08,8.1,0,0,3
174,Taiwan,500.0,unknown,Washed / Wet,82.0,8.2,0,0,1
175,Thailand,1000.0,Catimor,Washed / Wet,82.0,9.8,0,0,0
176,Costa Rica,1500.0,Caturra,Washed / Wet,82.0,10.5,1,2,8
179,Peru,1600.0,Caturra,Washed / Wet,81.92,11.6,0,2,2
180,Guatemala,1400.0,Caturra,Washed / Wet,81.92,10.3,0,0,1
181,Taiwan,300.0,Typica,Pulped natural / honey,81.83,11.3,0,0,0
182,Vietnam,5400.0,Catimor,Pulped natural / honey,81.83,11.2,0,0,4
183,Brazil,1000.0,Yellow Catuai,Pulped natural / honey,81.83,11.3,0,0,2
184,Brazil,950.0,Catucai,Natural / Dry,81.75,11.1,0,0,0
185,Colombia,1574.0,Santander,Washed / Wet,81.75,11.2,0,0,0
186,Mexico,1200.0,Typica,Washed / Wet,81.67,11.8,2,0,2
187,Costa Rica,1200.0,Caturra,Washed / Wet,81.58,9.7,0,2,4
188,Taiwan,300.0,Typica,Pulped natural / honey,81.58,9.0,0,0,0
189,Taiwan,435.0,unknown,Pulped natural / honey,81.5,8.5,0,0,0
